Name,ΔG-homo,ΔG-M1,ΔG-M2,ΔG-M3,q_M1,q_M2,q_M3,q_O,q_Cu,spin_M1,spin_M2,spin_M3,spin_O,spin_Cu,dband_M1,dband_M2,dband_M3,pband_O1,dband_Cu,alpha,beta,min_alpha_beta,d_M1-O,d_M2-O,d_M3-O,a_M1OM2,a_M1OM3,a_M2OM3,D_M1M2M3O,M1_nd,M2_nd,M3_nd,RAC-d1-charge,RAC-d1-spin,RAC-d1-dband,RAC-d1-Z,RAC-d1-X,RAC-d1-T,RAC-d1-I,RAC-d1-S,RAC-d2-charge,RAC-d2-spin,RAC-d2-dband,RAC-d2-Z,RAC-d2-X,RAC-d2-T,RAC-d2-I,RAC-d2-S,RAC-d3-charge,RAC-d3-spin,RAC-d3-dband,RAC-d3-Z,RAC-d3-X,RAC-d3-T,RAC-d3-I,RAC-d3-S,RAC-d4-charge,RAC-d4-spin,RAC-d4-dband,RAC-d4-Z,RAC-d4-X,RAC-d4-T,RAC-d4-I,RAC-d4-S,RAC-d5-charge,RAC-d5-spin,RAC-d5-dband,RAC-d5-Z,RAC-d5-X,RAC-d5-T,RAC-d5-I,RAC-d5-S
FeCuMnFe_5,#VALUE!,246.7529304,195.1671024,217.8067906,1.16322,1.04945,0.97436,-0.90234,0.53993,-3.8201,4.54864,3.5472,-0.03937,0.0232,-4.66595,-2.79007,-3.68991,-4.10056,-1.74183,0.930292,1.640797,0.930292,1.867013547,2.187686436,1.855996046,84.91120851,133.892242,108.2735436,-31.11277674,8,7,8,-2.87578,-0.168336,45.7046,616,17.9224,52.53,3,3.069,4.96522,0.00998817,191.025,848,106.743,97.4736,10,5.1546,-2.026,-0.000678739,250.008,200,91.7792,39.2259,11,2.7126,-0.877661,-1.97E-06,29.1265,16,15.136,6.72478,2,0.4092,0,0,0,0,0,0,0,0
FeCuCuMn_2,226.6468498,225.7541798,202.2585785,231.2283477,1.18666,0.71925,1.13878,-0.91838,0.78188,-3.8783,0.1924,4.62516,-0.2187,0.3829,-4.31339,-1.7328,-2.24559,-3.71918,-2.17899,1.496782,0.613968,0.613968,1.834834613,1.886807838,1.995510336,113.3949933,119.4337513,104.5021142,-26.56092458,8,11,7,-2.79618,-0.205416,30.8386,640,18.1632,47.8559,3,2.937,4.90702,-0.0273637,158.24,848,106.743,99.2545,10,5.1546,-2.50657,-0.0338198,200.648,208,99.3472,43.6022,12,2.9172,-0.447664,3.94E-05,11.4151,8,7.568,3.44248,1,0.2046,0,0,0,0,0,0,0,0
FeCuCuCo_8,188.4957064,223.8060586,164.4697541,#VALUE!,1.20099,0.76207,0.97887,-0.9151,0.6858,3.9375,-0.3336,2.5961,0.28573,-0.2351,-4.39027,-2.26786,-2.96849,-3.69547,-1.96593,0.444193,1.448319,0.444193,1.921708607,1.937315102,1.86143397,104.2374207,128.8762856,94.18403126,-28.68089837,8,11,9,-2.69216,1.77153,35.5749,656,19.2984,51.0051,3,2.8644,4.7898,0.176384,161.53,848,106.743,100.152,10,5.1546,-2.48926,-0.0294759,208.406,208,99.3472,43.3945,12,2.9172,-0.445773,1.71E-05,11.306,8,7.568,3.40768,1,0.2046,0,0,0,0,0,0,0,0
FeCuCuNi_3,183.7409256,213.0021253,174.1237183,174.9166194,0.87576,0.87921,0.84352,-0.78261,0.64601,0.8133,-0.5256,1.4345,-0.02053,0.1961,-2.39946,-2.95662,-2.66723,-3.79164,-1.96166,0.624432,0.540375,0.540375,1.881619822,1.943870718,1.958602413,106.1843724,136.3164882,98.30210258,-21.6182012,8,11,10,-2.0336,-0.0353568,30.4215,664,19.4016,57.214,3,2.6928,4.82642,-0.00609782,187.657,912,118.577,119.315,11,5.5902,-3.02295,-2.20E-05,217.915,144,87.5136,39.6929,11,2.4816,-0.382344,-2.05E-06,13.0399,8,7.568,3.63418,1,0.2046,0,0,0,0,0,0,0,0
FeCuFeNi_8,#VALUE!,211.7812677,339.4435894,184.6572251,1.08896,1.15545,0.87245,-0.9193,0.64772,3.7532,3.8533,-1.4459,0.31086,-0.1522,-3.97208,-4.16551,-2.79217,-3.77492,-1.99844,0.968309,1.280634,0.968309,1.93784298,1.922727155,1.933645198,85.08438517,136.7525275,123.0793013,-26.61848788,8,8,10,-2.86533,1.91508,41.259,640,19.1608,49.1982,3,2.8248,3.95137,0.167146,154.648,784,94.9096,93.3734,9,4.719,-0.556204,-0.00316455,209.441,256,96.0448,47.7998,11,2.9436,-1.37495,0.00035438,43.0424,24,22.704,10.8191,3,0.6138,0,0,0,0,0,0,0,0
NiCuCuFe_3,#VALUE!,210.7021871,185.4711302,191.6594342,0.93384,0.93292,0.93205,-0.88076,0.76305,0.0317,-0.5588,3.4675,-0.05725,-0.4411,-2.41857,-3.44393,-3.59038,-3.8653,-3.04307,0.778863,0.859865,0.778863,1.981296459,1.968821306,1.818190815,87.96799831,125.8182312,109.4872337,-37.39733352,10,11,8,-2.46508,-0.168338,36.5382,664,19.4016,46.9822,3,2.6928,5.28753,0.0374856,156.712,680,89.3712,74.337,8,3.9204,-4.76849,0.012757,223.472,240,85.484,51.1135,11,3.0756,2.03114,0.000321173,29.1961,128,23.6672,11.8693,2,0.8712,-0.860837,-1.55E-05,26.7975,16,15.136,6.76297,2,0.4092
MnCuFeFe_13,260.1219774,210.0379356,189.973863,188.2699134,0.94216,0.9186,0.95665,-0.82926,0.60082,3.5353,3.6338,3.6351,0.34652,0.1034,-3.66524,-3.95558,-4.11827,-3.81969,-1.99202,2.015848,0.818459,0.818459,1.922401088,2.158208908,1.851734724,80.98432476,111.3311454,79.33716923,-43.07212955,7,8,8,-2.33637,3.74387,44.8397,616,17.9224,54.6675,3,3.069,3.42753,0.281724,165.119,784,94.9096,86.5476,9,4.719,-0.556798,0.0126549,226.783,256,96.0448,43.7597,11,2.9436,-1.22206,-9.01E-05,45.1587,24,22.704,9.71108,3,0.6138,0,0,0,0,0,0,0,0
CoCuFeNi_11,221.9682085,210.003804,215.7956575,178.9756427,1.01335,1.22567,0.85075,-0.91291,0.65951,2.6674,3.9451,1.4363,0.56766,0.2125,-3.08853,-4.6215,-2.47202,-3.60804,-1.94187,3.672954,0.644038,0.644038,2.016372089,1.855475634,1.937178637,88.77662488,133.4617649,121.2088674,-28.28846603,9,8,10,-2.82068,4.56898,36.7372,648,19.3328,47.0285,3,2.8116,3.93381,0.763213,144.271,784,94.9096,91.5233,9,4.719,-0.581314,0.0226553,196.441,256,96.0448,46.8026,11,2.9436,-1.36524,-0.000579013,39.8032,24,22.704,10.5908,3,0.6138,0,0,0,0,0,0,0,0
NiCuNiFe_10,#VALUE!,207.4176864,185.6312857,#VALUE!,1.03818,1.05758,1.05157,-0.96826,0.7222,1.6479,1.6659,3.6802,0.50434,0.3608,-2.5612,-2.89029,-3.81444,-3.52011,-2.25556,3.631557,0.914606,0.914606,1.968352705,1.949985121,1.849736406,91.94119986,130.4053533,118.7229638,-29.19886307,10,10,8,-3.04743,3.52735,32.6171,656,19.436,43.411,3,2.64,6.04996,0.650407,128.686,680,89.3712,73.6434,8,3.9204,-5.23456,0.102205,184.24,240,85.484,51.173,11,3.0756,2.23713,0.00508879,22.4651,128,23.6672,11.9396,2,0.8712,-0.94263,-0.000277387,20.2164,16,15.136,6.82506,2,0.4092
FeCuCuZn_5,193.5707983,207.0868733,170.1513365,181.5302544,1.19511,0.80272,1.19359,-0.99439,0.65763,3.9285,-0.3886,0.018,0.10267,-0.1965,-4.34147,-2.4402,-6.65901,-3.54889,-1.86108,0.443168,1.866752,0.443168,1.900345038,1.929538115,1.900912612,104.8212996,126.3640932,96.93037922,-29.28980573,8,11,12,-3.17352,0.36529,47.6995,680,18.5072,52.7722,3,2.6796,5.37915,0.0435506,155.466,848,106.743,100.967,10,5.1546,-2.71046,-0.00871155,201.702,208,99.3472,43.9024,12,2.9172,-0.48398,1.03E-06,10.8027,8,7.568,3.42185,1,0.2046,0,0,0,0,0,0,0,0
