     Index              y_true              y_pred        descriptor_1
         1    0.2952363600E+01    0.2878657245E+01    0.1698948829E+01
         2    0.3574732022E+01    0.3761207965E+01    0.2302209135E+01
         3    0.3205701264E+01    0.3095589865E+01    0.1847231342E+01
         4    0.3222045520E+01    0.3300583553E+01    0.1987353096E+01
         5    0.2572562089E+01    0.2512514388E+01    0.1448674882E+01
         6    0.3466886983E+01    0.3350755967E+01    0.2021648038E+01
         7    0.3647028173E+01    0.3705648318E+01    0.2264231794E+01
         8    0.2054711809E+01    0.1899070106E+01    0.1029360074E+01
         9    0.1548757666E+01    0.1461417959E+01    0.7302065389E+00
        10    0.9321563880E+00    0.1211500146E+01    0.5593772674E+00
