     Index              y_true              y_pred        descriptor_1        descriptor_2
         1    0.2952363600E+01    0.2907311677E+01    0.1698948829E+01    0.7314986187E-01
         2    0.3574732022E+01    0.3599725366E+01    0.2302209135E+01   -0.5222852325E+00
         3    0.3205701264E+01    0.3214805253E+01    0.1847231342E+01    0.3263109503E+00
         4    0.3222045520E+01    0.3208173304E+01    0.1987353096E+01   -0.2992896291E+00
         5    0.2572562089E+01    0.2593419162E+01    0.1448674882E+01    0.2426821489E+00
         6    0.3466886983E+01    0.3468909087E+01    0.2021648038E+01    0.3110316120E+00
         7    0.3647028173E+01    0.3646835090E+01    0.2264231794E+01   -0.2208740505E+00
         8    0.2054711809E+01    0.2033967240E+01    0.1029360074E+01    0.4290961155E+00
         9    0.1548757666E+01    0.1574742882E+01    0.7302065389E+00    0.3872280648E+00
        10    0.9321563880E+00    0.9290564544E+00    0.5593772674E+00   -0.7524803857E+00
