     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
         1    0.2952363600E+01    0.2951852350E+01    0.1698948829E+01    0.8614256359E+00    0.7964680811E-01
         2    0.3574732022E+01    0.3574682775E+01    0.2302209135E+01    0.1213906117E+01    0.3089873867E+00
         3    0.3205701264E+01    0.3203657643E+01    0.1847231342E+01    0.1296154031E+01    0.1085385081E+00
         4    0.3222045520E+01    0.3207606509E+01    0.1987353096E+01    0.1108740763E+01    0.2427711051E+00
         5    0.2572562089E+01    0.2559019320E+01    0.1448674882E+01    0.8119294797E+00    0.1270400592E+00
         6    0.3466886983E+01    0.3470762019E+01    0.2021648038E+01    0.1511949408E+01    0.1150767474E+00
         7    0.3647028173E+01    0.3662863415E+01    0.2264231794E+01    0.1324135545E+01    0.2007489715E+00
         8    0.2054711809E+01    0.2062345497E+01    0.1029360074E+01    0.4916258262E+00    0.1291269664E-01
         9    0.1548757666E+01    0.1547069392E+01    0.7302065389E+00    0.2815811548E+00    0.8419516778E-01
        10    0.9321563880E+00    0.9370865933E+00    0.5593772674E+00    0.1004595439E-01    0.3899096189E+00
