name,Eads,delta_e,Ebonding,d-band,f3,f4,f5,f6,iz3,iz4,iz5,iz6,izz3,izz4,izz5,izz6
add-bridge-16-154,-1.81404,-0.103906,7.21986,-4.53632,325.72858,396.93325,493.61667,1275.99053,0.81609,0.0043,0.60883,119.4049,3.51626,0.01588,20.5893,9.70682
add-bridge-16-181,-1.77392,-0.105502,7.25998,-4.5508,316.79177,395.0652,498.20351,1277.18812,0.43435,0.05785,0.79596,118.45633,2.99053,0.946,19.39877,10.44824
add-bridge-16-210,-1.76357,-0.105813,7.27034,-4.57243,327.91588,393.24265,506.23706,1278.56113,0.23154,0.07399,0.97636,116.93898,3.13285,1.54752,17.66852,11.16122
add-bridge-16-243,-1.76607,-0.106599,7.26783,-4.58923,340.66661,389.62672,511.7784,1280.35492,0.18037,0.04583,1.14059,115.36964,3.89096,1.17094,16.50001,11.73124
add-bridge-16-284,-1.76877,-0.108829,7.26513,-4.58646,351.06981,387.1155,515.36307,1281.75376,0.17115,0.01319,1.25099,114.21318,4.91603,0.39013,15.73904,12.0939
add-bridge-16-337,-0.72786,-0.085181,8.30604,-4.53547,242.66172,442.81048,488.84996,1299.43042,0.2724,7.20E-04,0.343,179.15411,9.36687,3.88E-04,2.45143,11.2881
add-bridge-16-338,-0.82091,-0.086705,8.21299,-4.55677,246.77239,438.45394,491.58369,1294.56508,0.21174,5.78E-04,0.38658,166.67745,8.10909,0.00101,4.59723,8.47906
add-bridge-16-339,-0.9301,-0.08921,8.1038,-4.56907,258.55411,431.54027,498.79646,1290.15009,0.12422,4.23E-04,0.48732,154.80213,6.99746,0.00104,7.02172,6.81863
add-bridge-16-340,-1.06427,-0.093881,7.96964,-4.5741,275.32398,422.92703,506.22506,1286.09328,0.03985,2.99E-04,0.64666,143.64247,5.90915,7.50E-04,9.70493,6.25083
add-bridge-16-341,-1.23753,-0.099947,7.79638,-4.57622,299.97852,411.74074,510.91548,1282.96302,6.90E-05,1.95E-04,0.84737,133.23126,5.14647,2.98E-04,12.33467,6.77811
add-bridge-16-342,-1.46686,-0.104931,7.56705,-4.57564,329.79397,399.00979,516.34298,1281.21853,0.04351,6.20E-05,1.07251,123.38141,5.05232,7.60E-05,14.34114,8.61973
